Timestamp;Username;text;retweet_count
Wed Sep 20 15:25:12 +0000 2017;?Credence ???;RT @BurgerKingFR: Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 15:16:48 +0000 2017;218?;@vxlou10 @BurgerKingFR Gros cœur sur toi ??;0
Wed Sep 20 15:00:08 +0000 2017;NENA;@louisechsy @BurgerKingFR Ah les batards;0
Wed Sep 20 14:59:58 +0000 2017;NENA;RT @louisechsy: salut @BurgerKingFR ca fait partie de la recette du whopper ca? https://t.co/vJJY8nnOfw;1
Wed Sep 20 14:58:53 +0000 2017;Orthlieb loan ;"RT @_Evangeles_: J'ai envoyé un dm Il ma dit ""vient voir ma frite"" depuis je suis en couple  #WeMetOnTwitter ? @BurgerKingFR https://t.co/h…";1
Wed Sep 20 14:52:10 +0000 2017;Dylan LEGROS ???;"@CadinotCharlott @SoleneRibet @Maurelsan @BurgerKingFR Réunionnais ;-)";0
Wed Sep 20 14:48:08 +0000 2017;__;RT @CadinotCharlott: @SoleneRibet @Dylan_Legros @Maurelsan @BurgerKingFR Ils sont vraiment fous ces reunionais;1
Wed Sep 20 14:48:03 +0000 2017;__;@CadinotCharlott @Dylan_Legros @Maurelsan @BurgerKingFR Ptdrrrr;0
Wed Sep 20 14:47:38 +0000 2017;Cachou;@SoleneRibet @Dylan_Legros @Maurelsan @BurgerKingFR Ils sont vraiment fous ces reunionais;1
Wed Sep 20 14:46:52 +0000 2017;__;@CadinotCharlott @Dylan_Legros @Maurelsan @BurgerKingFR Mdrrr non jamais j'irai dans 3 mois quand y'aura moins de m… https://t.co/NLi75KkvYZ;0
Wed Sep 20 14:46:14 +0000 2017;Pydance;RT @Dylan_Legros: La file d'attente au drive du 1er @BurgerKingFR à la Réunion. Je vous laisse imaginer la file d'attente à l'intérieur ??…;9
Wed Sep 20 14:45:26 +0000 2017;Cachou;@Dylan_Legros @Maurelsan @BurgerKingFR @SoleneRibet tu veux aller manger au burger King?;0
Wed Sep 20 14:45:00 +0000 2017;Mme Genet;@Dylan_Legros @LadiLafeFR @BurgerKingFR Je confirme !;0
Wed Sep 20 14:39:39 +0000 2017;Duchesse Nono;RT @BurgerKingFR: Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 14:18:42 +0000 2017;Tangos;@LaSponge16 @BurgerKingFR OUIII C'EST DEMAIN ???;0
Wed Sep 20 14:16:46 +0000 2017;Bob.;La seule chose de la journée qui m'a rendu heureuse c'est le panneau @BurgerKingFR qui affichait sa direction et donc enfin son ouverture ?;0
Wed Sep 20 13:55:53 +0000 2017;TanguyBnt;@ManonGottari @BurgerKingFR Bien sûr ?;0
Wed Sep 20 13:53:45 +0000 2017;Jomins2laRun;RT @Dylan_Legros: La file d'attente au drive du 1er @BurgerKingFR à la Réunion. Je vous laisse imaginer la file d'attente à l'intérieur ??…;9
Wed Sep 20 13:51:48 +0000 2017;Manon;@tanguybonnet @BurgerKingFR Tu dois Bien en avoir un sur Saint Étienne ?;0
